"BN/Registration number","Fiscal period end","Form ID","100","110","120","130"
"100075423RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"100075472RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"100299163RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"100300748RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"100300979RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"100301290RR0001",2018-8-31 00:00:00,"23","N","N",,
"100304518RR0001",2018-3-31 00:00:00,"23","N","N",,
"100305507RR0001",2018-3-31 00:00:00,"23","N","N",,
"100306323RR0002",2018-3-31 00:00:00,"23","N","N","N","N"
"100318195RR0001",2018-3-31 00:00:00,"23","N","N",,
"100462118RR0001",2018-6-30 00:00:00,"23","N","N",,
"100489897RR0001",2018-11-30 00:00:00,"23","N","N","N","N"
"100504679RR0001",2018-6-30 00:00:00,"23","N","N",,
"100523653RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"100623602RR0001",2018-6-30 00:00:00,"23","N","N",,
"100762590RR0001",2018-12-31 00:00:00,"23","N","N",,
"100764638RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"100764646RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"100765882RR0001",2018-12-31 00:00:00,"23","N","N",,
"100766427RR0001",2018-9-30 00:00:00,"23","N","N",,
"100769835RR0001",2018-3-31 00:00:00,"23","N","N",,
"100815067RR0001",2018-3-31 00:00:00,"23","N","N",,
"100825074RR0001",2018-3-31 00:00:00,"23","N","N",,
"100825322RR0001",2018-3-31 00:00:00,"23","N","N",,
"100870674RR0001",2018-4-30 00:00:00,"23","N","N","N","N"
"100876887RR0001",2018-4-30 00:00:00,"23","N","N",,
"100877802RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"100878776RR0001",2018-3-31 00:00:00,"23","N","N",,
"100878800RR0001",2018-8-31 00:00:00,"23","N","N","N","N"
"100878826RR0001",2018-3-31 00:00:00,"23","N","N",,
"100885821RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"100891134RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"100893379RR0001",2018-3-31 00:00:00,"23","N","N",,
"100909753RR0001",2018-8-31 00:00:00,"23","N","N",,
"100910215RR0001",2018-3-31 00:00:00,"23","N","N",,
"101015469RR0001",2018-4-30 00:00:00,"23","N","N",,
"101023703RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101039329RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"101072106RR0001",2018-12-31 00:00:00,"23","N","N",,
"101076099RR0001",2018-3-31 00:00:00,"23","N","N",,
"101079200RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101157659RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101160604RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101205904RR0001",2018-12-31 00:00:00,"23","N","N",,
"101469609RR0001",2018-3-31 00:00:00,"23","N","N",,
"101560571RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"101569697RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101577294RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101633485RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"101633501RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"101678969RR0001",2018-3-31 00:00:00,"23","N",,,
"101694578RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101747103RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101756351RR0001",2018-3-31 00:00:00,"23","N","N",,
"101816197RR0001",2018-9-30 00:00:00,"23","N","N","N","N"
"101835007RR0001",2018-4-30 00:00:00,"23","N","N",,
"101835148RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"101835155RR0001",2018-12-31 00:00:00,"23","N","N",,
"101835163RR0001",2018-12-31 00:00:00,"23","N","N",,
"101835171RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101835221RR0001",2018-11-30 00:00:00,"23","N","N","N","N"
"101835338RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101835361RR0001",2018-6-30 00:00:00,"23","N","N","N","N"
"101835445RR0001",2018-12-31 00:00:00,"23","N","N",,
"101835460RR0001",2018-3-31 00:00:00,"23","N","N",,
"101835486RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101835502RR0001",2018-4-30 00:00:00,"23","N","N","N","N"
"101835528RR0001",2018-12-30 00:00:00,"23","N","N","N","N"
"101835544RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101835585RR0001",2018-12-31 00:00:00,"23","N","N",,
"101835643RR0001",2018-12-31 00:00:00,"23","N","N",,
"101835650RR0001",2018-12-31 00:00:00,"23","N","N","N","N"
"101835684RR0001",2018-3-31 00:00:00,"23","N","N","N","N"
"101835692RR0001",2018-3-31 00:00:00,"23","N","N",,
"101835718RR0001",2018-12-31 00:00:00,"23","N","N",,
"101835767RR0001",2018-12-31 00:00:00,"23","N","N",,
"101835783RR0001",2018-5-31 00:00:00,"23","N","N",,
