"BN/Registration number","Fiscal period end","Form ID","200","210","Name of individual/organization (1)","Country (1)","Amount (1)","Name of individual/organization (2)","Country (2)","Amount (2)","Name of individual/organization (3)","Country (3)","Amount (3)","Charity's Program Country Code (1)","Charity's Program Country Code (2)","Charity's Program Country Code (3)","Charity's Program Country Code (4)","Charity's Program Country Code (5)","Charity's Program Country Code (6)","Charity's Program Country Code (7)","Charity's Program Country Code (8)","Charity's Program Country Code (9)","Charity's Program Country Code (10)","220","230","240","250","260","Item exported (1)","Value (CAN) (1)","Destination (city/region) (1)","Country code (1)","Item exported (2)","Value (CAN) (2)","Destination (city/region) (2)","Country code (2)","Item exported (3)","Value (CAN) (3)","Destination (city/region) (3)","Country code (3)","Item exported (4)","Value (CAN) (4)","Destination (city/region) (4)","Country code (4)"
"100021252RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100072586RR0001",2018-12-31 00:00:00,"23",$34925728.00,"Y","Aga Khan Foundation",,$34615588.00,"Consultants",,$310140.00,,,,"AF","MZ","KG","ML","TZ","PK","KE","UG","TJ","EG","Y",$25928579.00,"Y","N","N",,,,,,,,,,,,,,,,
"100072933RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100075423RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100090059RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100107598RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100172188RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100192012RR0001",2018-10-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100192194RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100193457RR0001",2018-12-31 00:00:00,"23",,"Y","Amnesty International Charity","GB",$182337.00,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100296318RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100299163RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100300979RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100301019RR0001",2018-1-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100301464RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100302702RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100303387RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100303817RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100304344RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100305473RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100305507RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100306182RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100306323RR0002",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100306836RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100318997RR0001",2018-9-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100334994RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100462118RR0001",2018-6-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100489897RR0001",2018-11-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100523653RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100622661RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100681238RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100718212RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",$0.00,"N","N","N",,,,,,,,,,,,,,,,
"100749357RR0001",2018-9-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100762723RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100763416RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100764638RR0001",2018-12-31 00:00:00,"23",$385000.00,"Y","BOYS TOWN JERUSALEM","IL",$385000.00,,,,,,,"IL",,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100764646RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100766427RR0001",2018-9-30 00:00:00,"23",$34301.00,"N",,,,,,,,,,"GB",,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100810290RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,"HT",,,,,,,,,,"N",,"N","Y","N",,,,,,,,,,,,,,,,
"100814854RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,,,,,,,,"N",,,,,,,,,,,,,,,,,,,,
"100825116RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100825439RR0001",2018-12-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"100870674RR0001",2018-4-30 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100875244RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100876481RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
"100876689RR0001",2018-3-31 00:00:00,"23",,"N",,,,,,,,,,,,,,,,,,,,"N",,"N","N","N",,,,,,,,,,,,,,,,
