"BN/Registration number","Fiscal period end","Form ID","500","505","510","515","520","525","530","535","540","545","550","555","560","565","580"
"100072586RR0001",2018-12-31 00:00:00,"23",,,,,,,"Y",,"Y",,"Y",,,,$4335874.00
"100096585RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,"Y","meal",$7762.00
"100193457RR0001",2018-12-31 00:00:00,"23",,,,,,,"Y",,,,,,,,$9241.00
"100296490RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,,"Y",,,$200.00
"100300219RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,"Y","Y","PÂTISSERIES, VÊTEMENTS",$4959.00
"100301878RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","certificats cadeaux",$50.00
"100302801RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","PÉRE NOËL-TEMPS",$200.00
"100305473RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,"Y","Y","Pièces d'armurerie",$229252.00
"100459932RR0001",2018-1-31 00:00:00,"23",,,,,,,,,,,,,"Y","Free rent to store canned goods, meetings",$9000.00
"100504687RR0001",2018-6-30 00:00:00,"23",,,"Y",,,,,,,,,,,,$5646.00
"100718212RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,"Y",,,,,$3930.00
"100765114RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,"Y",,"Y",,,$101275.00
"100825322RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Cuisinère",$579.00
"100872894RR0001",2018-12-31 00:00:00,"23",,"Y","Y",,,,,,,"Y",,,,,
"100876499RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$5544.00
"100876531RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Biens périsables",$118385.00
"100876630RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,"Y","Y","Voiselles, jouets, bibélots, etc...",$3292.00
"100878776RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,"Y","nourriture",$95938.00
"100880608RR0001",2018-9-30 00:00:00,"23","Y",,,,,,,,,"Y",,,,,
"100881333RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,"Y","Y","JOUETS",
"100883248RR0001",2018-3-31 00:00:00,"23",,"Y","Y",,,,,,,,,"Y",,,$11772.00
"100884949RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Nourriture",
"100885821RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,,,,,,$39600.00
"100886407RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$5630.00
"100886530RR0001",2018-6-30 00:00:00,"23","Y",,,,,,,,,"Y",,,,,$25731.00
"100886993RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Billet match soccer",$1260.00
"100890227RR0001",2018-6-30 00:00:00,"23","Y",,,,,,,,,,,,,,$500.00
"100891258RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","ORDINATEUR",$500.00
"100914647RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,"Y","CONTAINER",$152200.00
"100931203RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Scrap Metal",$1218.00
"100952753RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Donations of land rental and labor",$11600.00
"100960863RR0001",2018-12-31 00:00:00,"23",,"Y",,,,,,,,,,,"Y","fuel",$444.00
"100966175RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,,,,,$5635.00
"100977180RR0001",2018-3-31 00:00:00,"23",,,"Y",,,,,,,,,,,,$400.00
"101069029RR0001",2018-10-31 00:00:00,"23",,,,"Y","Y",,,,,"Y",,,,,$131494.00
"101072239RR0001",2018-3-31 00:00:00,"23",,,,,,,,"Y",,,,,,,
"101072361RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,,,$240.00
"101159564RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,"Y",,,,,$84922.00
"101161115RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,,,$12925.00
"101161776RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,"Y",,,,,$400.00
"101258077RR0001",2018-8-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$6213.00
"101469609RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,"Y","Y","Y","Certificat/nourriture",$78029.00
"101544351RR0001",2018-12-31 00:00:00,"23","Y",,"Y",,,,,,,,,"Y",,,$2426.00
"101562874RR0001",2018-6-30 00:00:00,"23",,,,,,,,,,,,,"Y","cadres",$1986.00
"101563096RR0001",2018-12-31 00:00:00,"23","Y",,,,,,,,,,,,,,$5628.00
"101569697RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","2 Bikes, portable toilets",$1421.00
"101574093RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","DROITS D'AUTEUR",$3283.00
"101589380RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Nappes & art.. de cuisine",$531.00
"101678969RR0001",2018-3-31 00:00:00,"23","Y",,"Y",,,,,,,,,,"Y","gift cards",$20811.00
"101747103RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,"Y",,,,$1209531.00
"101756351RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,"Y",,,,,
"101835007RR0001",2018-4-30 00:00:00,"23","Y",,,,,,,,,,,,"Y","forfait vacances, loge",$5450.00
"101835155RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,"Y","Cadeaux pour encans",$22788.00
"101835163RR0001",2018-12-31 00:00:00,"23",,,,,,,,,,,,,,,$30641.00
"101835171RR0001",2018-3-31 00:00:00,"23",,,,,,,,,,,,,"Y","Biens pour encan",$14980.00
