BN/Registration number,Fiscal period end,Form ID,Political Activities Description,Public Policy Description
821618139RR0001,2018-12-31 00:00,23,Oceans Canada deployed AN online petition calling on the Canadian government TO implement boat TO plate traceability IN the seafood supply chain. This petition support our campaign TO end seafood fraud and mislabelling IN Canada. We promoted the petition,
107769044RR0001,2018-03-31 00:00,23,"Sign on TO petition of other National Organizations -CEPA -Review RECOMMENDATIONS TO IMPROVE Canadian Environmental Protection Act -Together WITH others, prepare A report FOR NB government on A Strategy TO increase electric vehicles IN NB -MET WITH Minis",
108229865RR0001,2018-12-31 00:00,23,YWCA Toronto engages in non-partisan political activities that are related but peripheral to our charitable purpose. Our advocacy activities bring attention to systemic issues of concern to women and girls arising from our mission and the direct services that we provide. We take positions on social public policies ensuring that they are well-reasoned and based on factual public information and research. Our main political activities for 2018 include call for:Support for Girls only spaces and programsPoverty reduction investment in public/social housing mental health child caretruth and reconciliation support to refugees and new-comer facilities Pay Equity Gender based violence strategy LGBTQ2s rightFair and decent work for women,
108227943RR0001,2018-12-31 00:00,23,"YWCA Metro Vancouver advocates for issues outlined in the YWCA Strategic Plan. These address they systemic causes of social inequality for women, including family policy and early learning and child care, women in the economy, work/life balance and family friendly workplaces, women's safety and healthy relationships, truth and reconciliation, safe, affordable housing and support for single mothers and mothers without legal status. We advocate through increasing public awareness on these issues via media outreach, social media and online engagement, public education events and government relations. We search for win-win opportunities with all levels of government when exploring policy solutions and advocating for reforms. Examples include the launch of our Child Care Now Campaign, which urged the provincial and federal governments to work together to provide affordable child care, and our media complaint tool, and interactive online too; that allows people to report sexist ads to the Canadian Code of Advertising Standards.",
888789393RR0001,2018-12-31 00:00,23,"YWCA Canada conducts political activities to influence government policies to better support the lives of vulnerable women and girls who use our services. Our political activities include public policy statements (written, electronic and oral), calls to action on public policy, policy recommendations for government, correspondence and meetings with elected and government officials, media releases and appearances. Our political activities focus on ending violence against women, achieving economic equality and increasing women's access to child care and ensuring homes for women and ending homelessness for women and girls.",
129819819RR0001,2018-03-31 00:00,23,"YMCA representatives meet with elected officials to advocate for changes related to violence prevention, poverty relief and inclusion. We support relevant petitions to government officials. We advocate for new programs and financial support for services needed by abuse survivors and families living in poverty. We organize public workshops to encourage women's participation in all areas of politics and governance. We promote gender analysis in policy development. Advocacy is typically accomplished through electronic communications and attendance at meetings organized by volunteers or by government.",
850757386RR0001,2018-12-31 00:00,23,Written presentations to BC Finance Committee; writing letters and e-mails regarding policy and financial policies of the provincial government. Appointed to provincial committee making amendments to regulations. Participation by staff and residents at public meetings regarding reducing poverty.Participation by staff and residents at public meetings regarding poisoned drug supply and reducing addiction.,
119304954RR0001,2018-06-30 00:00,23,"World Wildlife Fund Canada (WWF-Canada) is a national registered charity formed for the conservation of biodiversity in Canada and elsewhere. WWF-Canada devotes less that 10% of its resources to political activities that are aimed at promoting public awareness and advocacy about the need for governments to implement policies that will contribute to the long-term protection and sustainable management of healthy species populations and ecosystems. Political activity in the 2018 fiscal year involved letter writing campaigns to supporters and the public, containing information about the importance of public policies in conservation actions and encouraging the public to express their views about the government decisions on such conservation policies via petitions, blogs, press releases on the WWF website, social media platforms and external media outlets.",
130353469RR0001,2018-12-31 00:00,23,Working with agencies and the government to develop effective policies and programs for refugee sponsorship and settlement. MCC Torontos mission is to build bridges with a vibrant spirituality that transforms lives and the world. MCC Torontos refugee program is one of the ways that the organization fulfills its mission.No donations were made to qualified donees for polticial activites.,
872766878RR0001,2018-03-31 00:00,23,"WomanACT submitted an open letter to the Minister of Education regarding the repealing of the Ontario's Sex Education Curriculum. As an organization committed to women's safety and gender equality, we needed to express our concerns about the announcement by the Ministry of Education to roll back Ontario's sexual health education curriculum in the upcoming school year. Comprehensive sexual health education that is inclusive, rights-based and promotes gender equality in preventing violence against women, which is a key mission within our charity's purpose.",
134892496RR0001,2018-09-30 00:00,23,"Wildsight asks their members and the public to engage in public processes around land-use planning and environmental issures in accordance with our charitable purpose: To promote the maintenance of a healthy, livable environment for all life; to prevent and eliminate pollution; to promote conservation; to assist others in the pursuit of environmental conservation; to investigate, study and correlate facts with respect to ecological and pollution problems and make available such studies to the general public; and to develop stategies for the long term viability of our community in harmony with the above purposes. Last year, we engaged our supporters on the following issues: Jumbo (...) Wild, Flathead Wild, Elk Valley mines, Mountain Caribou, Species at risk, Pollinator Health, forestry policy, local zoning issues, transportation, commercial recreation, access management and the Fisheries Act. Asking the public to comment to the BC government's draft policy on wildlife, habitat and ecosystem management. Asking the public to comment on the draft new BC Environmental Assessment Act. Asking the public to sign a petition for permanent protection in the Jumbo Valley and organizing community events around this. Asking the public to comment on the BC government's proposed changes (...) to Professional Reliance. Asking the public comment of proposals for commercial recreation tenures on crown land Asking the public to send in postcards to the provincial and federal government to support mountain caribou conversation Asking the public to engage in the public comment period on re-zoning applications in Regional Districts. Asking the public to comment on the draft SARA listings for wildlife at risk, including wolverines and grizzlies. Asking the public to comment on draft hunting regulation changes to (...) wolverines, lynx and access management.",
119292464RR0001,2018-03-31 00:00,23,"West Coast LEAF's political activities are related to its law reform projects. Not all law reform work is political (much is charitable),especially when it overlaps with our education work.We write legal reports and make recommendations about how to change law and policy to better ensure respect forthe Charter of Rights and Freedoms.Rarely,we urge the public to contact their MLA or MP to encourage them to take action on a particular issues of concern.We engage with the public through the media and by speaking at public events about our research,our programs,issues that impact women's equality and the need for changes and reform in various laws and policies. There area number of goals of our legal research reports,letters,and submissions,oneof which is to seek change to a particular law of policy that our research shows is contrary to the rights of women as protected by the Charter.",
866312994RR0001,2018-12-31 00:00,23,"We use internet resources to advance a Biblical understanding of human rights, also to explain the relevance of Christian ethics and theology to public policy.  In doing so, we engage in dialogue with people of various political and ideological persuasions, in what is clearly a non-partisan endeavor.",
118942200RR0001,2018-12-31 00:00,23,"We teach the Bible and hold ourselves accountable to it. According to the definition of political activities, reading the Bible in public is now considered a political activity.",
119254324RR0001,2018-12-31 00:00,23,We support groups that promote the sacredness of all life & groups that advocate for the protection of the environment,
817174865RR0001,2018-12-31 00:00,23,"We set up an online petition calling for an end to discrimination against foster parents and adoptive parents on the basis of religion. We drafted a proposal to the Ontario government for legislation to protect free expression on campus, and sent that to the Ontario Premier and all members of the Ontario Legislative Assembly. Ten of our published columns meet, or likely meet, the definition of political activity.",
118830744RR0001,2018-12-31 00:00,23,"We routinely engage in a non-partisan fashion in methods such as those listed below to educate policy and decision makers about the burden that diabetes imposes on people with the disease, our economy, healthcare system, government and potential measure to address this.",
807821376RR0001,2018-08-31 00:00,23,We provided $1500 to support 15 young people to attend the Make it Akward Conference Feb 2-4/18 We also paid 2M Fund Solutions to consult on helping us be more active in 2019.,
887489060RR0001,2018-07-31 00:00,23,"WE PROVIDE INFORMATION AND COMMENTARY ON WEBSITE, TO MEDIA, OVER PHONE AND EMAIL, ALSO IN CONVERSATIONS IN PERSON, AND PRESENTATIONS TOWARDS OUR PURPOSE OF SUPPORT FOR OPTIMAL CHILD WELL-BEING AND SUPPORT RECOGNITION FOR PARENTAL CHILD CARE; THIS INCLUDES RECOMMENDATIONS FOR CHANGING LAW, POLICIES, AND DECISIONS OF CANADIAN GOVERNMENTS THAT ARE RELATED TO OUR GOALS.",
131373425RR0001,2018-12-31 00:00,23,"We promote the Gospel, witness to justice and services in our communities and support relief, development and education initiatives throughout the world. We engage in various public policy activities  letter writing and holding worships and events.",
131575193RR0001,2018-12-31 00:00,23,"We promote the Gospel, witness to justice and service in our community, and support relief development and education initiatives throughout the world by engaging in various public policy activities including letter writing, holding workshops or events, and participating in on line advocacy.",
119034593RR0001,2018-12-31 00:00,23,"We promote the Gospel, witness to justice and service in our communities and support relief, development and education initiative throughout the world",
846302669RR0001,2018-03-31 00:00,23,"We participated in public consultation process on Water Act for PEI by making a presentation at a public event about the ecological impacts of water extraction on the Winter River. Making changes to provincial and municipal policies to reduce the amount of water extraction from our watershed area is crucial to protecting the health of the Winter River. We shared the information from our presentation on our Facebook page and website. No financial resources were directly spent on this activity, just the time of the volunteers and one paid staff person (approximately 25 hours).",
132712811RR0001,2018-12-31 00:00,23,We have no political activities.Our goal is to help seniors and the poor.,
847051307RR0001,2018-03-31 00:00,23,"We have given $300,00 to ""..."" because she is a champion against open net Fish Farms which we are convinced harm wild salmon.",
872885066RR0001,2018-12-31 00:00,23,"WE HAVE A CHARITABLE PURPOSE FOR EDUCATION AND RESEARCH FOR SUSTAINABILITY. OUR POLITICAL ACTIVITIES ARE LIMITED TO NON-PARISAN ACTIVITES. MEETINGS, LEETER WRITING, WORKSHOPS, EDUCATIONAL EVENTS, PUBLICATIONS PROMOTING ACTIONS AND POLICIES IN SUPPORT OF SUSTAINABILITY PARTICULARLY IN RELATION TO URBAN DESIGN AND ACTIVE TRANSPORTATION AND PUBLIC HEALTH. IN THESE ACTIVITIES WE MEEET WITH GOVERNMENT ELECTED OFFICIALS, CIVIL SERVANTS, COMMUNITY OUTREACH LEADERS AND BUSINESS LEADERS.",
107987174RR0001,2018-12-31 00:00,23,"We engaged in advocacy activities related to the City of Toronto budget, specifically regarding funding for policy areas on which we conducted research such as housing, childcare, transportation, and poverty and recreation space.",
119246742RR0001,2018-12-31 00:00,23,We engage in letter writing and public awareness campaigns regarding government policies re Israel & Palestine. Our mission is to provide such educational tools to raise the profile and advocate for justice in the middle east.,
107641573RR0001,2018-12-31 00:00,23,"-We encourage people to sign the ""Petition of One Million"" asking the Prime Minister to provide full legal protection for pre-born children.- We helped the Toronto Right to Life Association with legal fees incurred while contesting the funding withdrawal ",
899915268RR0001,2018-06-30 00:00,23,"We educate the public about environmental toxicants and their links to breast cancer, and advocate for breast cancer prevention and the elimination of environmental toxins linked to the disease. We work to empower people to make the societal changes needed to stop the disease before it starts. Our work aims to improve the quality of life for women with breast cancer now and to prevent or reduce its incidence for future generations. To that end, our political activities include informing the public about certain gaps in regulations concerning the control of toxic ingredients in consumer products and urging the government to develop better controls. Our political activities this year were focused on mobilizing the public to ask the government to move forward on the reform of the Canadian Environmental Protection Act.",
892496449RR0001,2018-04-30 00:00,23,We do not carry any political activitiesas is no part our mission,
131303141RR0001,2018-07-31 00:00,23,"We contributed $55 to the Federation of Ontario Naturalists (also known as Ontario Nature), which is a registered charity. This is our membership fee as a ""provincial partner"" of Ontario Nature. We estimate that $10 of this would have been used for non-partisan political purposes, specifically: (1) to promote to the public the importance of maintaining a population of the Monarch butterfly (Danaus plexippus) which is sufficient to support continuance of its annual migration to its winter hibernation site in Mexico; (2) to promote to the public the importance of keeping Ontario's noxious weed legislation up-to-date by (a) including invasive species of plants which are harmful to butterflies, and (b) excluding plants such as milkweed which are foodplants of butterfly caterpillars; and (3) to promote to the public the importance of preserving habitats which are used by rare and endangered species of plants and animals, including insects and their foodplants.",
891004749RR0001,2018-12-31 00:00,23,"We conducted and publicly disseminated research through email, our website and social media on prayers said in the BC Legislature, on tax exemptions provided by municipalities to religious properties an dont eh public funding of religious independent schools in British Columbia. We advocated for fairness in these policies, recognizing the diversity of religious and nonreligious views in British Columbia. These activities furthered our purposes of promoting secular humanism by all available means of education and communication and elaborating and expressing publicly Humanist postions on issues of concerns to people. Humanists support the state's duty of religious neutrality as protected by the Charter of Rights and Freedoms.",
118787142RR0027,2018-12-31 00:00,23,"We are not planning, organizing, or financing any political activities. Some government and/or political organizations occasionally rent our facilities.",
118777309RR0001,2018-12-31 00:00,23,"We are coordinating with our Supreme Court, Office of Public Prosecutor and Office of Public Defender, together with the Ministry of Children, national training events for Judges, prosecutors, public defenders and many authorities and practitioners to better respond to children's needs in Paraguay. Surrounding it all with prayer and intercession, connections and care through the Paraguay Protects Families movement.",
119442838RR0001,2018-12-31 00:00,23,We are a Religious Organization with NO Political Activities.,
119130359RR0001,2018-12-31 00:00,23,We are a member of the Evangelical Fellowship of Canada. They represent evangelical congregations in discussions with the government on issues that would be of concern to our congregations. They also send out quarterly updates on these issues to keep our congregation informed of legislation that would concern us.,
118830439RR0001,2018-03-31 00:00,23,We advocate for Canada to make a string commitment toward international development and poverty reduction and to dedicate the appropriate resources to it.,
106814692RR0001,2018-12-31 00:00,23,"Volunteers participated in ""Right to Life"" campaigns and rallies against abortion in Saint John and Fredericton, NB, to express our conviction that all life is created by God, is precious to Him, and should therefore be protected and valued from the moment of conception.",
