"BN/Registration number","Fiscal period end","Form ID","Line Number (700 to 708)","Staff Used?","Volunteers Used?","Financial Resource Used?","Property Resource Used?","Other Descriptions"
"100193457RR0001",2018-12-31 00:00:00,"23",700,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",701,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",702,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",703,"X",,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",704,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",705,,,,,
"100193457RR0001",2018-12-31 00:00:00,"23",706,,,"X",,
"100193457RR0001",2018-12-31 00:00:00,"23",707,,,,,
"100193457RR0001",2018-12-31 00:00:00,"23",708,,,,,
"100305663RR0001",2018-3-31 00:00:00,"23",700,"X","X","X",,
"100305663RR0001",2018-3-31 00:00:00,"23",701,"X",,,,
"100305663RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"100305663RR0001",2018-3-31 00:00:00,"23",705,"X",,"X",,
"101144541RR0001",2018-8-31 00:00:00,"23",700,"X",,"X",,
"101144541RR0001",2018-8-31 00:00:00,"23",701,"X","X","X",,
"101144541RR0001",2018-8-31 00:00:00,"23",702,"X",,,,
"101144541RR0001",2018-8-31 00:00:00,"23",703,"X",,,,
"101144541RR0001",2018-8-31 00:00:00,"23",705,"X",,,,
"101144541RR0001",2018-8-31 00:00:00,"23",706,"X",,,,
"101476083RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",702,"X",,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",705,"X",,"X",,
"101476083RR0001",2018-3-31 00:00:00,"23",706,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",702,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"102918729RR0001",2018-3-31 00:00:00,"23",707,,,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",700,"X",,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"102950318RR0001",2018-3-31 00:00:00,"23",708,"X","X","X","X","DISTRIBUTION DE RUBANS BLANCS ET CHANDELLES"
"103018487RR0001",2018-3-31 00:00:00,"23",703,,,"X",,
"103018487RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"103018487RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"103083978RR0001",2018-12-31 00:00:00,"23",700,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",701,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",702,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",703,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",704,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",705,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",706,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",707,,,,,
"103083978RR0001",2018-12-31 00:00:00,"23",708,,,,,
"104317375RR0001",2018-6-30 00:00:00,"23",701,"X","X","X",,
"104317375RR0001",2018-6-30 00:00:00,"23",702,"X","X","X",,
"104317375RR0001",2018-6-30 00:00:00,"23",706,"X",,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",701,"X",,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"104455019RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"104902523RR0001",2018-12-31 00:00:00,"23",700,"X",,"X",,
"104902523RR0001",2018-12-31 00:00:00,"23",701,"X",,"X",,
"104902523RR0001",2018-12-31 00:00:00,"23",702,"X","X","X",,
"104902523RR0001",2018-12-31 00:00:00,"23",703,,,,,
"104902523RR0001",2018-12-31 00:00:00,"23",704,,,,,
"104902523RR0001",2018-12-31 00:00:00,"23",705,"X","X","X",,
"104902523RR0001",2018-12-31 00:00:00,"23",706,"X",,"X",,
"104902523RR0001",2018-12-31 00:00:00,"23",707,,,,,
"104902523RR0001",2018-12-31 00:00:00,"23",708,,,,,
"105261341RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"105261341RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"105261341RR0001",2018-3-31 00:00:00,"23",705,"X",,"X",,
"105261341RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"105261341RR0001",2018-3-31 00:00:00,"23",708,"X","X","X",,
"106682636RR0001",2018-7-31 00:00:00,"23",700,,,"X",,
"106682636RR0001",2018-7-31 00:00:00,"23",701,,,,,
"106682636RR0001",2018-7-31 00:00:00,"23",702,,,"X",,
"106682636RR0001",2018-7-31 00:00:00,"23",703,,,"X",,
"106682636RR0001",2018-7-31 00:00:00,"23",704,,,,,
"106682636RR0001",2018-7-31 00:00:00,"23",705,,,"X",,
"106682636RR0001",2018-7-31 00:00:00,"23",706,,,,,
"106682636RR0001",2018-7-31 00:00:00,"23",707,,,,,
"106682636RR0001",2018-7-31 00:00:00,"23",708,,,,,
"106687452RR0001",2018-6-30 00:00:00,"23",701,,"X","X","X",
"106687452RR0001",2018-6-30 00:00:00,"23",702,,"X","X","X",
"106687452RR0001",2018-6-30 00:00:00,"23",703,,,"X",,
"106687452RR0001",2018-6-30 00:00:00,"23",708,,,"X","X",
"106694102RR0001",2018-3-31 00:00:00,"23",700,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",701,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",702,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",703,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",704,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",705,"X",,,,
"106694102RR0001",2018-3-31 00:00:00,"23",706,"X",,,,
"106708977RR0002",2018-12-31 00:00:00,"23",700,,"X","X",,
"106708977RR0002",2018-12-31 00:00:00,"23",701,"X","X","X",,
"106708977RR0002",2018-12-31 00:00:00,"23",702,,,"X",,
"106708977RR0002",2018-12-31 00:00:00,"23",703,,,"X",,
"106708977RR0002",2018-12-31 00:00:00,"23",704,,,,,
"106708977RR0002",2018-12-31 00:00:00,"23",705,"X","X","X",,
"106708977RR0002",2018-12-31 00:00:00,"23",706,"X","X","X",,
"106708977RR0002",2018-12-31 00:00:00,"23",707,,,,,
"106708977RR0002",2018-12-31 00:00:00,"23",708,"X","X","X",,"Government relations and meetings with politicians"
"106716467RR0001",2018-3-31 00:00:00,"23",703,"X",,"X",,
"106716467RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"106728488RR0001",2018-3-31 00:00:00,"23",704,"X",,"X",,
"106728488RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"106731698RR0001",2018-3-31 00:00:00,"23",700,,"X","X",,
"106731698RR0001",2018-3-31 00:00:00,"23",701,,"X","X",,
"106731698RR0001",2018-3-31 00:00:00,"23",704,,"X","X",,
"106731698RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"106732001RR0001",2018-3-31 00:00:00,"23",702,,"X","X",,
"106733462RR0001",2018-3-31 00:00:00,"23",702,,,"X",,
"106733462RR0001",2018-3-31 00:00:00,"23",704,,,"X",,
"106733462RR0001",2018-3-31 00:00:00,"23",705,,,"X",,
"106733462RR0001",2018-3-31 00:00:00,"23",706,,,"X",,
"106733462RR0001",2018-3-31 00:00:00,"23",708,,,"X",,"Tenue d'un kiosque de sensibilisation à l'assemblée Nationale du Québec le 19 octobre 2017"
"106798549RR0001",2018-12-31 00:00:00,"23",700,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",701,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",702,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",703,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",704,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",705,"X",,,,
"106798549RR0001",2018-12-31 00:00:00,"23",706,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",707,,,,,
"106798549RR0001",2018-12-31 00:00:00,"23",708,,,,,
"106814692RR0001",2018-12-31 00:00:00,"23",703,"X",,"X",,
"106842388RR0001",2018-3-31 00:00:00,"23",700,,,"X",,
"106842388RR0001",2018-3-31 00:00:00,"23",701,,,"X",,
"106842388RR0001",2018-3-31 00:00:00,"23",702,,"X","X",,
"106842388RR0001",2018-3-31 00:00:00,"23",705,,"X","X",,
"106842388RR0001",2018-3-31 00:00:00,"23",706,,"X","X",,
"106842867RR0001",2018-12-31 00:00:00,"23",700,,"X","X",,
"106842867RR0001",2018-12-31 00:00:00,"23",701,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",702,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",703,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",704,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",705,,,"X",,
"106842867RR0001",2018-12-31 00:00:00,"23",706,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",707,,,,,
"106842867RR0001",2018-12-31 00:00:00,"23",708,,,"X",,
"106845100RR0001",2018-1-31 00:00:00,"23",700,"X","X","X",,
"106845100RR0001",2018-1-31 00:00:00,"23",701,"X","X","X",,
"106845100RR0001",2018-1-31 00:00:00,"23",702,"X","X","X",,
"106845100RR0001",2018-1-31 00:00:00,"23",704,"X",,"X",,
"106845100RR0001",2018-1-31 00:00:00,"23",705,"X",,"X",,
"106845100RR0001",2018-1-31 00:00:00,"23",706,"X","X","X",,
"106845100RR0001",2018-1-31 00:00:00,"23",708,"X","X","X",,"Membership dues paid to organizations (listed in box 1) Attending meetings with elected officials and civil servants"
"106846942RR0001",2018-8-31 00:00:00,"23",700,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",701,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",702,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",703,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",705,,"X","X",,
"106846942RR0001",2018-8-31 00:00:00,"23",706,,"X","X",,
